score,percentage
11.00647966,100.00
10.872516,99.90
10.79071662,99.80
10.65695278,99.70
10.62267294,99.60
10.62267294,99.60
10.49949486,99.50
10.46813776,99.40
10.4566499,99.40
10.43076592,99.30
10.40540542,99.20
10.36918062,99.20
10.35591342,99.10
10.33312014,99.00
10.3095907,98.90
10.27046462,98.90
10.25719742,98.80
10.24228366,98.70
10.22597342,98.60
10.2160731,98.50
10.2160731,98.50
10.17125472,98.40
10.15609934,98.40
10.12523678,98.10
10.12523678,98.10
10.12523678,98.10
10.12523678,98.10
10.12039054,98.00
9.976243656,97.90
9.972480936,97.80
9.967260456,97.80
9.962580776,97.70
9.925784136,97.50
9.925784136,97.50
9.925784136,97.50
9.902606856,97.40
9.889339656,97.30
9.858477096,97.10
9.858477096,97.10
9.858477096,97.10
9.789338696,97.10
9.776494376,97.00
9.752894216,96.90
9.749499496,96.80
9.723316616,96.80
9.695821096,96.70
9.672291656,96.60
9.661397256,96.50
9.659024456,96.30
9.659024456,96.30
9.659024456,96.30
9.658663016,96.30
9.636231176,96.20
9.635847336,95.80
9.635847336,95.80
9.635847336,95.80
9.635847336,95.80
9.635847336,95.80
9.626781736,95.70
9.622579976,95.50
9.622579976,95.50
9.622579976,95.50
9.604984776,95.50
9.535846216,95.40
9.509734696,95.10
9.509734696,95.10
9.509734696,95.10
9.509734696,95.10
9.496007016,95.00
9.482739816,94.90
9.482739816,94.90
9.451877256,94.80
9.418799336,94.70
9.405532136,94.70
9.405170696,94.60
9.396105096,94.50
9.396006056,94.40
9.391903336,94.40
9.385772136,94.30
9.382354856,94.20
9.369087656,94.10
9.369087656,94.10
9.361040776,93.90
9.361040776,93.90
9.312036936,93.90
9.295368456,93.80
9.288063976,93.70
9.256242376,93.60
9.256242376,93.60
9.242975176,93.50
9.220433748,93.40
9.215980136,93.40
9.198384776,93.30
9.178321576,93.10
9.178321576,93.10
9.161588136,93.10
9.155528296,93.00
9.142612616,92.90
9.125143816,92.60
9.125143816,92.60
9.125143816,92.60
9.125143816,92.60
9.118623656,92.30
9.118623656,92.30
9.118623656,92.30
9.118623656,92.30
9.118623656,92.30
9.115595176,92.10
9.115595176,92.10
9.103134856,92.10
9.041876136,91.70
9.041876136,91.70
9.041876136,91.70
9.041876136,91.70
9.041876136,91.70
9.028608776,91.30
9.028608776,91.30
9.028608776,91.30
9.028608776,91.30
9.028608776,91.30
9.028608776,91.30
9.021747976,91.20
9.012298536,91.00
9.012298536,91.00
8.989482696,91.00
8.967708296,90.90
8.962487816,90.80
8.930911656,90.70
8.924829096,90.70
8.911561896,90.20
8.911561896,90.20
8.911561896,90.20
8.911561896,90.20
8.911561896,90.20
