score,percentage
13.82558,0.999
13.82558,0.999
13.58442,0.997
13.58442,0.997
13.58442,0.997
13.5404,0.997
13.52547,0.995
13.52547,0.995
13.52547,0.995
13.52547,0.995
13.43091,0.994
13.28431,0.991
13.28431,0.991
13.28431,0.991
13.28431,0.991
13.28431,0.991
13.28431,0.991
13.24029,0.991
13.15264,0.987
13.15264,0.987
13.15264,0.987
13.15264,0.987
13.15264,0.987
13.15264,0.987
13.15264,0.987
13.13812,0.987
13.127,0.986
13.0248,0.986
12.99913,0.985
12.99913,0.985
12.9842,0.984
12.94018,0.984
12.91148,0.983
12.91148,0.983
12.87129,0.982
12.86746,0.979
12.86746,0.979
12.86746,0.979
12.86746,0.979
12.86746,0.979
12.86746,0.979
12.86746,0.979
12.85253,0.971
12.85253,0.971
12.85253,0.971
12.85253,0.971
12.85253,0.971
12.85253,0.971
12.85253,0.971
12.85253,0.971
12.85253,0.971
12.85253,0.971
12.85253,0.971
12.85253,0.971
12.85253,0.971
12.85253,0.971
12.82689,0.971
12.76794,0.97
12.72469,0.97
12.70047,0.969
12.70047,0.969
12.69902,0.967
12.69902,0.967
12.69902,0.967
12.69902,0.967
12.68067,0.966
12.66574,0.965
12.66574,0.965
12.6263,0.963
12.6263,0.963
12.6263,0.963
12.6263,0.963
12.61363,0.963
12.61137,0.959
12.61137,0.959
12.61137,0.959
12.61137,0.959
12.61137,0.959
12.61137,0.959
12.61137,0.959
12.61137,0.959
12.59302,0.957
12.59302,0.957
12.59302,0.957
12.58228,0.957
12.56735,0.953
12.56735,0.953
12.56735,0.953
12.56735,0.953
12.56735,0.953
12.56735,0.953
12.56735,0.953
12.55242,0.944
12.55242,0.944
12.55242,0.944
12.55242,0.944
12.55242,0.944
12.55242,0.944
12.55242,0.944
12.55242,0.944
12.55242,0.944
12.55242,0.944
12.55242,0.944
12.55242,0.944
12.55242,0.944
12.55242,0.944
12.55242,0.944
12.55242,0.944
12.55242,0.944
12.55242,0.944
12.54171,0.943
12.52678,0.943
12.50031,0.942
12.50031,0.942
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.4797,0.929
12.45931,0.928
12.43951,0.926
12.43951,0.926
12.43951,0.926
12.43951,0.926
12.41384,0.926
12.40036,0.925
12.39511,0.925
12.38056,0.924
12.38056,0.924
12.36864,0.922
12.36864,0.922
12.36864,0.922
12.35186,0.922
12.32764,0.921
12.32764,0.921
12.32619,0.912
12.32619,0.912
12.32619,0.912
12.32619,0.912
12.32619,0.912
12.32619,0.912
12.32619,0.912
12.32619,0.912
12.32619,0.912
12.32619,0.912
12.32619,0.912
12.32619,0.912
12.32619,0.912
12.32619,0.912
12.32619,0.912
12.32619,0.912
12.31126,0.906
12.31126,0.906
12.31126,0.906
12.31126,0.906
12.31126,0.906
12.31126,0.906
12.31126,0.906
12.31126,0.906
12.31126,0.906
12.31126,0.906
12.31126,0.906
12.31126,0.906
12.31126,0.906
12.30784,0.905
12.29291,0.899
12.29291,0.899
12.29291,0.899
12.29291,0.899
12.29291,0.899
12.29291,0.899
12.29291,0.899
12.29291,0.899
12.29291,0.899
12.29291,0.899
12.29291,0.899
12.29291,0.899
12.28217,0.898
12.28217,0.898
12.28217,0.898
12.26727,0.897
12.26724,0.893
12.26724,0.893
12.26724,0.893
12.26724,0.893
12.26724,0.893
12.26724,0.893
12.26724,0.893
12.26724,0.893
12.26724,0.893
12.25915,0.892
12.1998,0.892
12.19452,0.886
12.19452,0.886
12.19452,0.886
12.19452,0.886
12.19452,0.886
12.19452,0.886
12.19452,0.886
12.19452,0.886
12.19452,0.886
12.19452,0.886
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.17959,0.859
12.16888,0.859
12.1592,0.858
12.15618,0.858
12.15395,0.857
12.1394,0.856
12.1394,0.856
12.1394,0.856
12.1356,0.855
12.12748,0.854
12.12748,0.854
12.12748,0.854
12.11518,0.853
12.10993,0.853
12.10612,0.852
12.09538,0.852
12.095,0.85
12.095,0.85
12.095,0.85
12.095,0.85
12.06853,0.849
12.06853,0.849
12.06668,0.847
12.06668,0.847
12.06668,0.847
12.05175,0.846
12.05175,0.846
12.04246,0.846
12.02753,0.842
12.02753,0.842
12.02753,0.842
12.02753,0.842
12.02753,0.842
12.02753,0.842
12.02753,0.842
12.02753,0.842
12.02608,0.839
12.02608,0.839
12.02608,0.839
12.02608,0.839
12.02608,0.839
12.02228,0.838
12.02228,0.838
12.02228,0.838
12.00773,0.832
12.00773,0.832
12.00773,0.832
12.00773,0.832
12.00773,0.832
12.00773,0.832
12.00773,0.832
12.00773,0.832
12.00773,0.832
12.00773,0.832
11.9928,0.828
11.9928,0.828
11.9928,0.828
11.9928,0.828
11.9928,0.828
11.9928,0.828
11.9928,0.828
11.9928,0.828
11.9928,0.828
11.98206,0.827
11.94294,0.827
11.94069,0.826
11.94069,0.826
11.92008,0.824
11.92008,0.824
11.92008,0.824
11.91502,0.824
11.90934,0.822
11.90934,0.822
11.90934,0.822
11.89969,0.822
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
11.89441,0.802
